,date,code,name,status,holding_nav,holding_volume,holding_money,total_fee,holding_gain,history_gain,category1,category2,category3,categoryId
0,2019-12-02,000478,建信中证500指数增强A,买入,1.9252,4157.52,8004.0,11.99,0.0,0.0,A 股,中小盘股,中证500,121
1,2019-08-26,001052,华夏中证500ETF联接A,买入,0.5423,7379.54,4002.0,4.8,0.0,0.0,A 股,中小盘股,中证500,121
2,2020-03-09,110026,易方达创业板ETF联接A,清仓,0.0,0.0,0.0,5.06,0.0,180.23,A 股,中小盘股,创业板,124
3,2020-03-12,003765,广发创业板ETF联接A,清仓,0.0,0.0,0.0,4.93,0.0,155.79,A 股,中小盘股,创业板,124
4,2020-03-02,100032,富国中证红利指数增强A,分额,0.9822,4074.72,4002.0,6.0,0.0,0.0,A 股,红利价值,中证红利,131
5,2019-08-28,000968,广发养老指数A,买入,0.9444,4943.96,4669.0,5.6,0.0,0.0,A 股,行业股,养老产业,141
6,2019-12-03,001180,广发医药卫生联接A,初始化,0.8242,809.28,667.0,0.8,0.0,0.0,A 股,行业股,全指医药,142
7,2019-08-23,001064,广发中证环保ETF联接A,初始化,0.5489,9722.0,5336.0,6.4,0.0,0.0,A 股,行业股,中证环保,143
8,2019-08-23,004752,广发中证传媒ETF联接A,初始化,0.7329,4550.55,3335.0,4.0,0.0,0.0,A 股,行业股,中证传媒,144
9,2019-11-20,502010,易方达证券公司分级,买入,0.9853,473.85,466.9,0.45,0.0,0.0,A 股,行业股,证券公司,145
10,2020-02-26,001469,广发中证全指金融地产联接A,初始化,1.0907,611.53,667.0,0.8,0.0,0.0,A 股,行业股,金融地产,147
11,2020-03-19,000071,华夏恒生ETF联接A,买入,1.3485,1483.88,2001.0,2.4,0.0,0.0,海外新兴,香港,恒生,211
12,2019-08-26,164906,交银中证海外中国互联网指数,初始化,1.1564,576.8,667.0,0.8,0.0,0.0,海外新兴,海外互联,海外互联网,221
13,2020-03-19,050025,博时标普500ETF联接A,初始化,1.9457,342.8,667.0,0.8,0.0,0.0,海外成熟,美国,标普500,313
14,2020-03-18,000614,华安德国30(DAX)联接,买入,0.9648,4147.87,4002.0,4.8,0.0,0.0,海外成熟,德国,德国30,321
15,2019-08-27,162411,华宝标普石油指数A,买入,0.3776,5299.96,2001.0,3.0,0.0,0.0,商品,商品,原油,613
16,2020-03-09,501018,南方原油A,初始化,0.7171,930.19,667.0,0.8,0.0,0.0,商品,商品,原油,613
17,2020-03-11,160416,华安标普石油指数,初始化,0.6498,1026.5,667.0,0.8,0.0,0.0,商品,商品,原油,613
